@RELATION svm_clf
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE features69 NUMERIC
@ATTRIBUTE features70 NUMERIC
@ATTRIBUTE features71 NUMERIC
@ATTRIBUTE features72 NUMERIC
@ATTRIBUTE features73 NUMERIC
@ATTRIBUTE features74 NUMERIC
@ATTRIBUTE features75 NUMERIC
@ATTRIBUTE features76 NUMERIC
@ATTRIBUTE features77 NUMERIC
@ATTRIBUTE features78 NUMERIC
@ATTRIBUTE features79 NUMERIC
@ATTRIBUTE features80 NUMERIC
@ATTRIBUTE features81 NUMERIC
@ATTRIBUTE features82 NUMERIC
@ATTRIBUTE features83 NUMERIC
@ATTRIBUTE features84 NUMERIC
@ATTRIBUTE features85 NUMERIC
@ATTRIBUTE features86 NUMERIC
@ATTRIBUTE features87 NUMERIC
@ATTRIBUTE features88 NUMERIC
@ATTRIBUTE features89 NUMERIC
@ATTRIBUTE features90 NUMERIC
@ATTRIBUTE features91 NUMERIC
@ATTRIBUTE features92 NUMERIC
@ATTRIBUTE features93 NUMERIC
@ATTRIBUTE features94 NUMERIC
@ATTRIBUTE features95 NUMERIC
@ATTRIBUTE features96 NUMERIC
@ATTRIBUTE features97 NUMERIC
@ATTRIBUTE features98 NUMERIC
@ATTRIBUTE features99 NUMERIC
@ATTRIBUTE features100 NUMERIC
@ATTRIBUTE features101 NUMERIC
@ATTRIBUTE features102 NUMERIC
@ATTRIBUTE features103 NUMERIC
@ATTRIBUTE features104 NUMERIC
@ATTRIBUTE features105 NUMERIC
@ATTRIBUTE features106 NUMERIC
@ATTRIBUTE features107 NUMERIC
@ATTRIBUTE features108 NUMERIC
@ATTRIBUTE features109 NUMERIC
@ATTRIBUTE features110 NUMERIC
@ATTRIBUTE features111 NUMERIC
@ATTRIBUTE features112 NUMERIC
@ATTRIBUTE class {pop,metal,disco,blues,reggae,classical,rock,hiphop,country,jazz}

@DATA
0.126932,0.042079,3.062517,0.295724,0.304216,0.836004,0.007074,0.209707,-24.623207,2.034352,0.504695,0.181138,-0.020907,-0.088624,-0.266033,0.061316,0.111462,0.255084,0.168028,0.062351,0.034304,-0.195048,0.079385,-0.017340,-0.027061,-0.003044,-0.001535,-0.028826,0.048282,-0.069856,0.007636,-0.005503,-0.026614,0.024227,0.007574,-0.021699,0.017391,-0.005380,-0.015547,-0.004951,-0.002520,0.009534,0.000696,0.006733,0.003522,0.120461,0.004457,0.020494,0.010008,0.086395,0.000946,0.007165,0.008853,0.022260,0.009177,0.049500,0.084281,0.031266,0.203221,0.074266,0.026602,0.586738,0.005474,0.226630,1.162186,0.446657,0.406808,0.362919,0.341817,0.255678,0.260754,0.242928,0.254019,0.257242,0.250033,0.222352,0.189228,0.114360,0.108426,0.085440,0.076175,0.062375,0.047116,0.045663,0.044584,0.041045,0.041215,0.039307,0.038149,0.035243,0.033436,0.032247,0.033364,0.026489,0.023391,0.022933,0.019018,0.017656,0.018153,0.006679,0.005588,0.097386,0.005566,0.022194,0.009633,0.069359,0.001297,0.008481,0.010243,0.016748,0.011302,0.025844,pop
0.149646,0.083668,3.087176,0.322182,0.307515,0.953115,0.009996,0.296125,-23.723001,1.937618,0.269972,0.115256,0.233463,0.073549,-0.168831,0.037358,0.167169,0.166589,0.153928,0.007927,0.029251,-0.208881,0.064164,0.000971,0.017700,-0.055847,0.016834,-0.003888,0.035408,-0.057003,0.019554,0.015331,-0.026128,0.017045,0.005040,-0.029978,0.013254,0.001503,-0.002514,-0.001632,0.006402,0.003316,0.002537,0.009843,0.003079,0.108512,0.004543,0.016531,0.006082,0.076709,0.001838,0.006319,0.008639,0.034028,0.008178,0.044391,0.097780,0.082868,0.233650,0.096209,0.033992,0.672108,0.009660,0.290314,1.622573,0.849850,0.595132,0.522532,0.409748,0.409383,0.345859,0.324209,0.366661,0.319716,0.329667,0.281016,0.237807,0.196950,0.149780,0.127090,0.101073,0.083118,0.069334,0.067477,0.060044,0.055232,0.051549,0.050167,0.050620,0.050611,0.053423,0.047795,0.043813,0.036136,0.030576,0.027492,0.024865,0.023620,0.025788,0.011636,0.005197,0.094785,0.006725,0.021584,0.006350,0.072180,0.003713,0.010919,0.010748,0.031106,0.014536,0.023841,pop
0.118968,0.052920,3.069126,0.282358,0.293136,0.779784,0.011466,0.204483,-23.824735,2.157686,0.148058,0.303588,0.269481,0.207467,0.290091,0.300894,0.197823,-0.003976,-0.019112,0.048823,0.055397,-0.251066,0.082329,-0.005142,0.070257,-0.057448,0.034398,-0.031138,0.003221,0.017524,-0.035059,0.020040,0.011352,-0.012245,-0.004225,0.025362,-0.019226,0.012087,-0.002084,-0.002040,-0.002071,-0.003919,0.006850,0.010528,0.006752,0.077604,0.006942,0.025306,0.009617,0.093723,0.000985,0.002218,0.006913,0.041262,0.003136,0.042078,0.079442,0.040103,0.216453,0.083366,0.026908,0.604035,0.011667,0.230547,1.156462,0.454766,0.364862,0.360809,0.240518,0.249965,0.263748,0.268598,0.286150,0.259381,0.236299,0.208331,0.195778,0.129932,0.103812,0.096199,0.076175,0.064678,0.058706,0.055214,0.049984,0.050465,0.045661,0.051777,0.046203,0.046219,0.039595,0.034609,0.028387,0.026964,0.023377,0.023198,0.021762,0.023515,0.023045,0.014409,0.009537,0.051628,0.009495,0.020979,0.012931,0.102972,0.001515,0.003140,0.006846,0.044182,0.005072,0.024062,pop
0.085480,0.025621,3.144830,0.171259,0.200014,0.801598,0.005794,0.152126,-23.785441,1.769827,0.440999,0.478599,0.074898,0.244987,-0.092360,-0.004240,0.184806,0.025428,0.052256,0.016078,0.040647,-0.237681,-0.022691,-0.134276,-0.039600,-0.025464,-0.019062,-0.010397,-0.014822,-0.035457,0.009446,0.012653,-0.002812,-0.009620,0.000931,-0.016503,-0.010894,-0.000448,-0.006668,0.002983,-0.014350,0.013692,0.002276,0.023654,0.002836,0.069270,0.006511,0.015834,0.009823,0.089408,0.001105,0.002159,0.008268,0.043610,0.006896,0.037037,0.037880,0.016128,0.132120,0.049098,0.036870,0.337672,0.003341,0.099420,0.934892,0.433511,0.345743,0.373751,0.271777,0.254334,0.253126,0.244435,0.234802,0.227023,0.236953,0.227925,0.203458,0.087425,0.078415,0.058379,0.058164,0.058648,0.048666,0.045868,0.042219,0.042720,0.037243,0.035641,0.035431,0.034554,0.033166,0.034694,0.029057,0.030322,0.028794,0.027842,0.023207,0.025439,0.025899,0.017317,0.003657,0.035680,0.007671,0.013890,0.008340,0.052638,0.001426,0.002886,0.006698,0.028437,0.006428,0.012818,pop
0.123915,0.048224,3.197712,0.245433,0.257484,1.014568,0.005484,0.204319,-22.398559,1.630421,0.040634,0.309006,0.295528,0.218627,-0.214226,0.027010,0.083140,-0.056199,0.065055,0.107421,0.023778,-0.194482,-0.056486,-0.038680,0.015977,-0.043062,-0.025438,0.033940,-0.004645,-0.045128,0.011034,0.007576,-0.005680,-0.008071,-0.013679,0.006815,0.001015,-0.007987,0.004986,-0.002066,-0.003968,0.015001,0.015170,0.015723,0.004698,0.037947,0.008348,0.019819,0.011382,0.074538,0.002759,0.006927,0.011961,0.027045,0.006453,0.028252,0.055606,0.021662,0.090443,0.054994,0.028826,0.402073,0.003088,0.137012,0.673420,0.440700,0.403005,0.367468,0.259637,0.262605,0.233000,0.226814,0.245623,0.222904,0.215770,0.211957,0.209055,0.091660,0.112723,0.065762,0.092609,0.063723,0.055718,0.054120,0.047071,0.047677,0.044024,0.043428,0.041013,0.042501,0.040381,0.039268,0.035671,0.032409,0.030933,0.029618,0.027824,0.027772,0.023857,0.017093,0.005770,0.027956,0.009405,0.014877,0.011920,0.057260,0.003817,0.008667,0.011454,0.030219,0.008550,0.014111,pop
0.106921,0.029735,3.192159,0.206385,0.221991,0.958818,0.005503,0.164949,-24.285218,1.737891,0.180274,0.383894,0.228738,0.050746,-0.227879,0.093100,-0.018738,-0.002633,-0.031487,-0.033447,-0.018695,-0.121867,-0.085112,-0.037372,-0.010104,-0.004218,-0.055700,0.056769,-0.003250,-0.010006,-0.022495,0.011496,-0.010317,0.003692,-0.008013,-0.002639,-0.011538,0.013905,-0.020984,-0.003475,-0.001923,0.006879,-0.017787,0.012376,0.004682,0.032032,0.022709,0.030129,0.022053,0.027623,0.002213,0.003908,0.024951,0.025891,0.005088,0.025456,0.031907,0.013196,0.094018,0.040733,0.032740,0.285940,0.003817,0.060120,0.725217,0.372336,0.316438,0.336770,0.283777,0.245210,0.234761,0.230999,0.241151,0.232495,0.204032,0.191142,0.188844,0.071791,0.077227,0.056004,0.064642,0.055317,0.042737,0.046812,0.039339,0.039091,0.035339,0.035431,0.034962,0.033274,0.029808,0.026946,0.026242,0.025889,0.023057,0.022334,0.023711,0.019199,0.020928,0.011034,0.004814,0.026808,0.017337,0.018664,0.016380,0.033106,0.004297,0.004195,0.016994,0.019045,0.007006,0.010723,pop
0.067781,0.015676,3.118253,0.192688,0.243436,0.419839,0.006064,0.085436,-25.586927,2.534655,0.475470,0.664000,0.457558,0.324509,-0.120027,0.096068,0.044082,0.002616,0.002249,0.075108,-0.022650,-0.287349,0.087490,-0.060366,0.035625,0.003873,-0.033108,0.059472,-0.022249,-0.006348,-0.022003,0.013657,-0.012748,-0.003517,-0.011697,0.008363,-0.000141,0.001509,-0.008009,0.017851,-0.002610,0.006757,-0.007201,0.036573,0.001422,0.056955,0.008769,0.029652,0.004565,0.083239,0.000658,0.003158,0.009572,0.050884,0.003252,0.039200,0.040096,0.008422,0.112991,0.057749,0.031600,0.281980,0.003496,0.080267,0.880389,0.367495,0.286650,0.284254,0.226974,0.218751,0.227437,0.230828,0.203857,0.199942,0.218875,0.205064,0.204175,0.073929,0.070745,0.053124,0.047805,0.038613,0.040372,0.036369,0.032642,0.034875,0.033689,0.031265,0.029486,0.024407,0.028956,0.025084,0.025422,0.021591,0.022313,0.019706,0.019080,0.019032,0.018121,0.025457,0.001890,0.028938,0.007938,0.020795,0.004876,0.045299,0.000852,0.004389,0.006935,0.023351,0.004007,0.010552,pop
0.082439,0.015155,3.174187,0.178131,0.214195,0.579582,0.008700,0.116137,-26.144942,1.810131,-0.499302,0.026570,0.165786,0.189188,-0.057728,0.404447,0.091157,-0.164913,0.084514,0.171712,0.054230,-0.175371,-0.145905,0.010862,-0.001158,-0.064364,0.007304,-0.007689,0.039987,-0.021381,-0.041086,0.017504,0.023284,-0.019487,-0.016164,0.017438,-0.010148,-0.005843,0.004211,-0.002806,-0.008905,0.001647,0.024284,0.030009,0.014537,0.035266,0.007768,0.014640,0.015761,0.083583,0.002297,0.002337,0.006637,0.022662,0.006036,0.037303,0.031959,0.010995,0.124648,0.047599,0.032300,0.275297,0.007298,0.059715,1.074581,0.528424,0.436023,0.410652,0.330855,0.304202,0.333337,0.274692,0.351961,0.269553,0.232591,0.224599,0.196833,0.087602,0.088570,0.053821,0.067459,0.049282,0.042682,0.045545,0.036936,0.045888,0.038527,0.052297,0.038906,0.036444,0.033010,0.032574,0.024544,0.026950,0.022273,0.019875,0.020936,0.019686,0.021108,0.027707,0.014554,0.034084,0.008356,0.012413,0.013587,0.053219,0.003026,0.003128,0.007701,0.020651,0.008754,0.014456,pop
0.121423,0.045894,3.163820,0.253190,0.268869,0.912640,0.005064,0.180357,-23.129827,1.740722,0.462772,0.374818,0.246735,0.244388,-0.179646,0.015726,0.146347,0.033543,0.080932,0.067447,-0.050150,-0.209146,0.033242,-0.099865,-0.002343,-0.052863,-0.005400,0.022268,-0.001059,-0.038838,0.015492,0.012037,-0.007956,-0.002842,-0.000418,-0.009474,0.011712,-0.010841,-0.016534,0.003872,-0.011022,0.017195,0.007317,0.014383,0.002472,0.054219,0.008175,0.008137,0.006032,0.083731,0.002709,0.007551,0.017436,0.051222,0.004866,0.036840,0.063417,0.019504,0.091927,0.066973,0.029226,0.377302,0.003203,0.126799,0.772413,0.418347,0.348049,0.344868,0.282161,0.239254,0.231922,0.223638,0.230496,0.216323,0.232983,0.213262,0.200479,0.094092,0.093448,0.066550,0.067444,0.070332,0.052712,0.048830,0.043454,0.043221,0.042377,0.041350,0.037783,0.036608,0.037225,0.031431,0.034041,0.030514,0.029052,0.027516,0.027297,0.024083,0.023826,0.012491,0.003314,0.032771,0.008875,0.008162,0.005555,0.060139,0.005336,0.010398,0.013808,0.028344,0.005130,0.014395,pop
0.173028,0.031490,3.101747,0.292873,0.272739,1.373914,0.004217,0.307792,-23.159806,1.674799,0.326693,-0.044614,0.159150,0.133848,-0.253547,0.149210,0.009919,-0.043362,0.014402,0.007032,-0.000212,-0.087621,0.012876,0.015281,-0.053049,-0.030350,-0.010294,0.031993,0.000146,-0.039003,-0.015335,0.002980,0.005184,0.002537,0.003168,0.010351,0.000525,0.008426,-0.007656,-0.004393,-0.003725,0.003989,-0.005481,0.012432,0.005213,0.039895,0.012108,0.013101,0.013714,0.055134,0.002526,0.006990,0.013619,0.030826,0.004525,0.022526,0.058776,0.019824,0.183011,0.052701,0.025251,0.497095,0.002275,0.165463,0.852355,0.492699,0.468760,0.363371,0.306206,0.255328,0.227711,0.245967,0.224910,0.238582,0.211949,0.207269,0.199529,0.097043,0.103025,0.071662,0.070114,0.068257,0.050873,0.051119,0.044709,0.038241,0.040586,0.033656,0.035550,0.031517,0.031483,0.030252,0.027127,0.028860,0.026398,0.025837,0.025133,0.023264,0.022678,0.010734,0.005911,0.025979,0.010410,0.009310,0.013260,0.055310,0.004159,0.008054,0.012095,0.023408,0.005897,0.014253,pop
