@RELATION svm_clf
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {music,speech,birds}

@DATA
0.200319,0.014583,3.274141,0.268042,0.211033,2.020495,0.003428,0.335572,-24.795533,-0.085206,-0.535127,-0.190417,-0.145259,0.243815,0.056859,0.209221,0.340631,0.214657,0.062979,0.111395,0.057150,0.013236,0.014309,0.009104,0.005997,0.005772,0.003986,0.002522,0.012718,0.003535,0.004802,0.005090,0.001875,0.010004,0.026191,0.008231,0.044005,0.016752,0.011709,0.168778,0.001547,0.051616,0.606369,0.358949,0.316816,0.303982,0.255341,0.237423,0.241529,0.224051,0.238542,0.257686,0.252893,0.229269,0.202636,0.014032,0.011241,0.009210,0.006543,0.005515,0.004770,0.002393,0.012641,0.003238,0.005494,0.004542,0.001938,0.004724,music
0.051477,0.016002,3.193773,0.110328,0.152245,0.350925,0.004331,0.072414,-25.363258,2.713550,-0.731268,0.092477,-0.586757,-0.113889,-0.115833,-0.149082,-0.134914,0.001712,-0.097155,0.061716,0.029408,0.022437,0.007391,0.015247,0.011265,0.022657,0.019058,0.031174,0.002687,0.018588,0.017067,0.011204,0.006610,0.020813,0.007588,0.011917,0.089556,0.020389,0.031156,0.114254,0.004008,0.015233,0.912494,0.295205,0.241966,0.252601,0.233200,0.213100,0.213117,0.217179,0.218443,0.196536,0.218877,0.197513,0.209477,0.015063,0.006767,0.010154,0.008405,0.018001,0.014844,0.022825,0.002663,0.014959,0.012487,0.007128,0.006683,0.007696,music
0.101337,0.020029,3.233823,0.160137,0.159475,1.148077,0.004188,0.150315,-23.195545,0.815881,-1.448291,-0.383530,-0.749086,-0.364196,-0.255010,-0.160661,-0.187224,-0.052264,-0.031078,0.047708,0.043246,0.010794,0.012093,0.010142,0.007621,0.017623,0.013699,0.018526,0.007609,0.010811,0.012745,0.009066,0.012321,0.011876,0.011956,0.007752,0.050357,0.016061,0.019163,0.144733,0.001331,0.016420,0.408642,0.269599,0.206057,0.197710,0.186052,0.180709,0.175665,0.182193,0.199083,0.184630,0.174237,0.161511,0.157801,0.010818,0.010420,0.008430,0.006377,0.012307,0.010700,0.011780,0.006387,0.007136,0.009282,0.006652,0.008064,0.004734,music
0.101929,0.046008,3.180137,0.199904,0.214980,0.888266,0.007011,0.158315,-23.155711,1.790023,-0.017713,0.248333,0.090257,0.079479,0.147049,0.113594,0.007779,0.014802,0.105373,0.088632,0.034051,0.012834,0.003010,0.040942,0.019506,0.019044,0.011358,0.047814,0.002634,0.006146,0.016630,0.034757,0.003247,0.028568,0.037126,0.020318,0.121406,0.039787,0.023508,0.367067,0.004933,0.078753,0.942969,0.525684,0.435862,0.316551,0.301689,0.244911,0.249791,0.273544,0.230234,0.260058,0.255516,0.237172,0.210630,0.013846,0.003686,0.033404,0.021764,0.016195,0.013668,0.043849,0.003173,0.008106,0.015929,0.034725,0.003615,0.013188,music
0.037903,0.065915,3.100781,0.140482,0.199631,0.289621,0.012082,0.054809,-24.905360,2.656384,0.963667,0.718476,0.535330,0.331217,0.203973,0.097317,0.101062,0.055462,0.108000,0.065832,-0.037170,0.005290,0.000512,0.087885,0.002769,0.026418,0.002721,0.094143,0.000384,0.001402,0.017915,0.054675,0.000418,0.047372,0.028625,0.026420,0.156589,0.045643,0.029621,0.258516,0.010168,0.057919,1.514520,0.683523,0.459298,0.322863,0.265577,0.249511,0.236370,0.228539,0.204192,0.194790,0.204114,0.181243,0.181869,0.005893,0.000688,0.057710,0.003277,0.026311,0.002198,0.048454,0.000776,0.001835,0.013604,0.038514,0.000523,0.011232,music
0.128211,0.009327,3.174535,0.205542,0.189415,1.343019,0.005604,0.220998,-25.393740,0.361839,-0.129140,-0.702698,-0.876473,-0.169476,-0.042563,0.320164,0.235900,0.246238,-0.100636,-0.003340,-0.109834,0.047142,0.009548,0.019786,0.005164,0.003065,0.008919,0.037364,0.001409,0.003742,0.008532,0.008190,0.008991,0.022793,0.029378,0.006574,0.134592,0.020166,0.022069,0.291679,0.003562,0.043048,1.004423,0.373639,0.279781,0.317298,0.244755,0.199084,0.199523,0.205836,0.200256,0.213393,0.204443,0.247376,0.171221,0.040622,0.009164,0.021982,0.004861,0.002499,0.008886,0.040092,0.001311,0.003886,0.009638,0.007271,0.008195,0.013453,music
0.118299,0.018785,3.177923,0.221447,0.224630,1.172914,0.005582,0.208173,-24.013089,1.417989,0.290126,0.072522,-0.067771,0.194111,-0.113546,0.163015,0.180105,0.120563,0.103301,-0.074503,0.072757,0.017327,0.006246,0.031425,0.007953,0.018908,0.007313,0.055896,0.002667,0.007083,0.011610,0.032370,0.012091,0.025948,0.046600,0.015347,0.147466,0.052334,0.031025,0.447486,0.003733,0.115575,1.321026,0.547057,0.376424,0.356274,0.274520,0.291634,0.268672,0.248189,0.252915,0.231682,0.220006,0.218726,0.212249,0.016087,0.006741,0.025184,0.006865,0.015714,0.008025,0.042087,0.004083,0.009000,0.011847,0.027087,0.012857,0.012214,music
0.093653,0.033339,3.207955,0.192335,0.213233,0.824888,0.005237,0.147296,-23.509721,1.936984,-0.048543,0.296895,0.276212,0.183668,-0.099904,0.028662,0.075608,0.153474,-0.046271,0.057030,0.126865,0.011467,0.008377,0.060855,0.009164,0.032281,0.015452,0.018461,0.004571,0.006158,0.010685,0.031735,0.003555,0.025637,0.032140,0.015953,0.086772,0.032977,0.021498,0.304626,0.003168,0.066928,0.779695,0.410924,0.307404,0.230206,0.229886,0.220138,0.214725,0.222112,0.202168,0.185291,0.211830,0.195348,0.206334,0.010832,0.009543,0.033932,0.011918,0.020238,0.012992,0.014983,0.005565,0.006185,0.007345,0.025080,0.003828,0.009149,music
0.067003,0.023020,3.071296,0.185781,0.226044,0.596928,0.009145,0.099080,-24.831246,1.979045,0.435314,0.190807,0.057082,0.208532,0.086653,0.193371,0.119754,0.159057,0.055471,0.146368,0.063072,0.006994,0.002613,0.087705,0.003264,0.017610,0.004814,0.153370,0.000977,0.005879,0.011032,0.034193,0.003511,0.053238,0.033035,0.018209,0.207893,0.046664,0.034155,0.358398,0.006811,0.073510,1.360697,0.476513,0.366252,0.390404,0.331933,0.272487,0.271061,0.233049,0.262611,0.259324,0.264258,0.229512,0.212785,0.007882,0.004045,0.061301,0.003363,0.021156,0.003790,0.089803,0.001516,0.007964,0.009353,0.027889,0.005411,0.021850,music
0.061579,0.019261,3.242106,0.118039,0.148539,0.444936,0.005190,0.090717,-24.739973,2.287830,-0.764659,-0.046795,-0.395322,0.134899,-0.364520,-0.274161,-0.077990,-0.054423,-0.125823,-0.022195,0.045461,0.016603,0.010272,0.017487,0.020771,0.007174,0.016629,0.014794,0.001775,0.013780,0.040542,0.028940,0.008702,0.027605,0.010122,0.007273,0.048923,0.019691,0.030695,0.140353,0.003722,0.021028,0.502986,0.329184,0.301411,0.279866,0.273075,0.249871,0.256401,0.238931,0.246841,0.250212,0.230036,0.241945,0.211570,0.011878,0.011174,0.011462,0.020526,0.005806,0.015276,0.013103,0.001677,0.013064,0.019177,0.021132,0.007175,0.008007,music
